frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
46,0.767433,2,false,false,0.405876637,-0.136865944,0.078986779,-0.316768348,-0.210141152,0.152667731,-0.912245154
47,0.784117,2,false,false,0.409632921,-0.139965564,0.078770272,-0.313446134,-0.208885565,0.154659241,-0.913344920
48,0.800800,2,false,false,0.409302145,-0.138448164,0.079629548,-0.312807530,-0.209493503,0.157099351,-0.913008094
49,0.817483,2,false,false,0.410902768,-0.139557838,0.079854220,-0.311099589,-0.208031505,0.159736335,-0.913468361
50,0.834167,2,false,false,0.411696851,-0.139368519,0.080915466,-0.310198963,-0.206235856,0.161821082,-0.913814783
51,0.850850,2,false,false,0.414140612,-0.139661595,0.082287490,-0.309414983,-0.205291003,0.162270129,-0.914213538
52,0.867533,2,false,false,0.415394127,-0.140326947,0.081937790,-0.308700353,-0.204714537,0.162656248,-0.914515793
53,0.884217,2,false,false,0.418190330,-0.141903192,0.081552863,-0.308188707,-0.204223603,0.162310019,-0.914859474
54,0.900900,2,false,false,0.420038044,-0.142277986,0.081794508,-0.307649851,-0.202976257,0.161342680,-0.915489316
55,0.917583,2,false,false,0.422181815,-0.140726358,0.083257399,-0.307505369,-0.201418296,0.159783155,-0.916155279
56,0.934267,2,false,false,0.424180686,-0.140403375,0.083375260,-0.306750536,-0.200504303,0.158772439,-0.916784286
57,0.950950,2,false,false,0.425684005,-0.140233114,0.083690256,-0.306026429,-0.199746400,0.158596992,-0.917222023
58,0.967633,2,false,false,0.426916778,-0.139250681,0.083972804,-0.305582225,-0.199187607,0.159260198,-0.917376697
59,0.984317,2,false,false,0.427746952,-0.138868555,0.084424436,-0.304416537,-0.199789867,0.159443051,-0.917601526
60,1.001000,2,false,true,0.427063644,-0.140319303,0.080743149,0.302380443,0.200745910,-0.160534799,0.917875707
61,1.017683,2,false,false,0.427037150,-0.139671519,0.080282792,0.303181052,0.200296178,-0.162856072,0.917300761
62,1.034367,2,false,false,0.426695228,-0.139875740,0.080473796,0.304308653,0.198856339,-0.165857986,0.916702569
63,1.051050,2,false,false,0.426876068,-0.139685392,0.080253527,-0.306493789,-0.196087673,0.166130513,-0.916521609
64,1.067733,2,false,false,0.428202748,-0.139946252,0.080080964,-0.308566511,-0.191974252,0.166000694,-0.916720450
65,1.084417,2,false,false,0.429400325,-0.140133917,0.080527380,-0.309097379,-0.187903374,0.165691391,-0.917440712
66,1.101100,2,false,false,0.430704951,-0.140406013,0.081667542,-0.309265256,-0.185117096,0.164383829,-0.918185532
67,1.117783,2,false,false,0.432726115,-0.140401572,0.082326345,-0.309107602,-0.183102593,0.162297800,-0.919013262
68,1.134467,2,false,false,0.434670836,-0.140210554,0.083470374,-0.308167160,-0.182077587,0.159675077,-0.919991732
69,1.151150,2,false,false,0.433281153,-0.143241525,0.094899431,-0.307733804,-0.181509048,0.156500101,-0.920794308
70,1.167833,2,false,false,0.434959680,-0.142110437,0.093762301,-0.306432217,-0.180805996,0.154663831,-0.921676576
71,1.184517,2,false,true,0.437304199,-0.139567941,0.088243775,0.305229008,0.178520069,-0.153701991,0.922681749
72,1.201200,2,false,false,0.439166605,-0.139036864,0.087747335,0.305137247,0.175344571,-0.152695403,0.923487782
73,1.217883,2,false,false,0.439837337,-0.138583288,0.089242741,0.305194944,0.171650603,-0.151314929,0.924389482
74,1.234567,2,false,false,0.440976977,-0.138166517,0.090529151,0.304783791,0.167167976,-0.150108844,0.925542593
75,1.251250,2,false,false,0.442074180,-0.137668431,0.091781110,0.304089993,0.163096413,-0.148728296,0.926719368
76,1.267933,2,false,false,0.442989856,-0.137415811,0.093131021,0.303207964,0.160062984,-0.147613555,0.927715003
77,1.284617,2,false,false,0.443872809,-0.137185931,0.094438657,0.302191496,0.158280030,-0.146058932,0.928598166
78,1.301300,2,false,false,0.444288045,-0.136449531,0.095438853,0.301111937,0.157067493,-0.144900590,0.929335952
79,1.317983,2,false,false,0.444188178,-0.135354862,0.102413863,-0.300662369,-0.155069813,0.144036844,-0.929951012
80,1.334667,2,false,true,0.444886506,-0.136581719,0.099856339,0.298589915,0.153676465,-0.146179676,0.930515587
81,1.351350,2,false,false,0.443439662,-0.135960385,0.100664355,0.297838688,0.151142672,-0.148484215,0.930806339
82,1.368033,2,false,false,0.441867024,-0.135194734,0.099808149,0.297922105,0.147702858,-0.151965231,0.930770040
83,1.384717,2,false,false,0.438986659,-0.133693054,0.099155821,-0.299406022,-0.143823624,0.155804649,-0.930266440
84,1.401400,2,false,false,0.435103238,-0.131559134,0.098159544,-0.301958799,-0.139874056,0.159543410,-0.929409564
85,1.418083,2,false,false,0.430486917,-0.128863528,0.097321615,-0.305223256,-0.135403201,0.163233370,-0.928363979
86,1.434767,2,false,false,0.425340712,-0.125601932,0.096967928,-0.307847291,-0.130196795,0.166505992,-0.927660882
87,1.451450,2,false,false,0.420210958,-0.122121595,0.096573561,-0.309479326,-0.124249041,0.168592408,-0.927556634
88,1.468133,2,false,false,0.410020113,-0.120829180,0.104461767,0.310347229,0.118692860,-0.168345481,0.928039074
89,1.484817,2,false,false,0.405698597,-0.116096273,0.104544781,0.309461087,0.111794665,-0.167313203,0.929377258
90,1.501500,2,false,false,0.400862366,-0.112772301,0.105097689,0.307444155,0.104997665,-0.165202260,0.931215286
91,1.518183,2,false,false,0.396418154,-0.108665489,0.105291232,0.304448068,0.096645370,-0.162633300,0.933553159
92,1.534867,2,false,false,0.392260104,-0.104807101,0.106310919,0.300352037,0.087121695,-0.159871146,0.936290443
93,1.551550,2,false,false,0.388026536,-0.100513875,0.107640512,0.294933796,0.077030331,-0.157379597,0.939314723
94,1.568233,2,false,false,0.383968502,-0.095688738,0.109071456,0.288854808,0.066443719,-0.155196965,0.942370415
95,1.584917,2,false,false,0.380464911,-0.090912029,0.110085174,0.282890141,0.055482369,-0.153747588,0.945122600
96,1.601600,2,false,false,0.376965255,-0.086319968,0.111884654,0.276848495,0.044712223,-0.152931571,0.947611570
97,1.618283,2,false,false,0.374155939,-0.081243180,0.113110118,0.270498782,0.034943014,-0.152458787,0.949929357
98,1.634967,2,false,false,0.370986700,-0.076791823,0.114040971,0.263995707,0.026411608,-0.151793391,0.952138364
99,1.651650,2,false,false,0.364211857,-0.070967242,0.120888710,0.258933634,0.020455709,-0.150234953,0.953920603
100,1.668333,2,false,false,0.362094820,-0.066454060,0.121075213,0.252677649,0.014370419,-0.149845868,0.955768704
101,1.685017,2,false,false,0.356317997,-0.059136745,0.125067085,0.247992024,0.008736163,-0.149000540,0.957195163
102,1.701700,2,false,false,0.355697334,-0.055385955,0.124518052,0.242098719,0.001703957,-0.149007380,0.958739936
103,1.718383,2,false,false,0.355244815,-0.051215172,0.123634562,0.237187698,-0.005884201,-0.148745120,0.959990799
104,1.735067,2,false,false,0.354370683,-0.047302835,0.123005554,0.233511657,-0.013641371,-0.148491964,0.960851908
105,1.751750,2,false,false,0.353935391,-0.043399423,0.122321159,0.230603144,-0.021150071,-0.148058891,0.961485028
106,1.768433,2,false,false,0.353879511,-0.039775155,0.121757552,0.228025422,-0.027699625,-0.146993488,0.962096751
107,1.785117,2,false,false,0.353909463,-0.036113635,0.121695362,0.225532517,-0.032930881,-0.145107925,0.962805450
108,1.801800,2,false,false,0.354663819,-0.032069739,0.123882338,-0.223110035,0.036363818,0.142030522,-0.963704824
109,1.818483,2,false,false,0.350042969,-0.028917700,0.128007531,0.220576629,-0.039361320,-0.139422879,0.964550614
110,1.835167,2,false,false,0.350427359,-0.026454205,0.128531799,0.217815295,-0.043153163,-0.136639163,0.965413928
111,1.851850,2,false,false,0.351089537,-0.024457647,0.128192186,0.214688331,-0.047644954,-0.133349940,0.966362655
112,1.868533,2,false,false,0.351641923,-0.022290112,0.128389105,0.211254463,-0.052980773,-0.129874691,0.967314422
113,1.885217,2,false,false,0.352622360,-0.020125128,0.128643572,0.207815751,-0.058871482,-0.126254469,0.968197644
114,1.901900,2,false,false,0.353131473,-0.017944274,0.128998414,0.204122946,-0.065298133,-0.122798957,0.969015181
115,1.918583,2,false,false,0.353708625,-0.016077869,0.129046023,0.200644240,-0.071443714,-0.119545266,0.969714761
116,1.935267,2,false,false,0.354169369,-0.014207043,0.128642470,0.197781906,-0.076860704,-0.116276279,0.970285833
117,1.951950,2,false,false,0.361813545,-0.013701661,0.124522440,-0.195117831,0.082560733,0.113447145,-0.970691800
118,1.968633,2,false,false,0.358991206,-0.011144308,0.125434354,-0.194088399,0.085695915,0.110522754,-0.970963776
119,1.985317,2,false,false,0.359843105,-0.006877102,0.123086818,0.193547741,-0.088253386,-0.109038860,0.971010387
120,2.002000,2,false,false,0.359150618,-0.005396821,0.122130387,0.192511871,-0.091287166,-0.107533753,0.971103728
121,2.018683,2,false,false,0.358701199,-0.004474189,0.122121587,0.191734537,-0.094251849,-0.107314996,0.970998466
122,2.035367,2,false,false,0.358220220,-0.003232276,0.120958477,0.190565377,-0.097521871,-0.107485741,0.970886827
123,2.052050,2,false,false,0.357590348,-0.001754344,0.119998172,0.189636737,-0.101309896,-0.108038522,0.970619321
124,2.068733,2,false,false,0.357258916,-0.000654321,0.118790612,0.188489616,-0.105454363,-0.109043077,0.970288992
125,2.085417,2,false,false,0.356709719,0.000916401,0.117241263,0.187846825,-0.109544083,-0.110750310,0.969767034
126,2.102100,2,false,false,0.356094599,0.002669219,0.115786597,0.187274233,-0.113467969,-0.112727076,0.969198704
127,2.118783,2,false,false,0.355115443,0.004209518,0.114357330,0.186453775,-0.117605969,-0.114699647,0.968631983
128,2.135467,2,false,false,0.358825326,0.002112843,0.111133739,-0.183787748,0.123652101,0.116196282,-0.968210042
129,2.152150,2,false,false,0.357664973,0.006359914,0.110757418,0.182689920,-0.127909690,-0.117984660,0.967648268
130,2.168833,2,false,false,0.357298732,0.006825114,0.110453628,0.179725856,-0.132944211,-0.119617514,0.967324257
131,2.185517,2,false,false,0.356166035,0.007519871,0.109870642,0.176379681,-0.137919828,-0.121080786,0.967061460
132,2.202200,2,false,false,0.355336457,0.008334817,0.109090239,0.173245728,-0.143268988,-0.122294448,0.966697454
133,2.218883,2,false,false,0.354460925,0.008984026,0.108088613,0.170760319,-0.148604512,-0.123586163,0.966169834
134,2.235567,2,false,false,0.353410512,0.009687277,0.106758706,0.168775260,-0.154151097,-0.124928392,0.965476692
135,2.252250,2,false,false,0.352020681,0.010632727,0.104968891,0.167343736,-0.159908757,-0.126772046,0.964548647
136,2.268933,2,false,false,0.350484937,0.011448096,0.103067532,0.166045263,-0.165458292,-0.128970847,0.963545024
137,2.285617,2,false,false,0.349768341,0.012580115,0.101105548,-0.165548906,0.170870513,0.131533638,-0.962338686
138,2.302300,2,false,false,0.348590672,0.013937756,0.098857723,-0.164383233,0.175206885,0.133539423,-0.961482167
139,2.318983,2,false,false,0.346874386,0.015551910,0.097428404,0.163384736,-0.179351360,-0.135266379,0.960646451
140,2.335667,2,false,false,0.346326113,0.015678823,0.097166508,0.162266269,-0.184413046,-0.137346089,0.959581971
141,2.352350,2,false,false,0.344808936,0.016237039,0.095568500,0.160791352,-0.189188927,-0.139209121,0.958631635
142,2.369033,2,false,false,0.342643470,0.016976774,0.094037846,0.159382895,-0.194057465,-0.141091555,0.957617879
